"2013-09";"3.1034";"2.2818";"3.228";"3.6174";"0.173";"0.5984";"0.4841";"4.4627";"5.3008";"0.014894";"0.033715";"0.2601";"0.5598";"1.0537";"0.1025";"0.5144";"-";"1.6555";"3.3437";"0.3349";"1.471";"0.5463";"0.0524";"0.003086";"0.2559";"2.7207";"0.0389";"0.4091";"0.9104";"-";"-";"-";"-";"-";"-";"-";"-";"-";"144.9838";"5.0908";"3.0848";"2.2806";"3.2071";"3.6505";"0.1736";"0.598";"0.4796";"4.4604";"5.336";"0.014982";"0.033763";"0.255";"0.5491";"1.0579";"0.1018";"0.5151";"-";"1.6202";"3.3051";"0.3276";"1.4646";"0.5399";"0.0528";"0.003077";"0.2515";"2.7357";"0.0389";"0.4032";"0.8999";"-";"-";"-";"-";"-";"-";"-";"-";"-";"141.9124";"5.0689"
"2013-08";"3.0054";"2.2678";"3.1989";"3.5964";"0.1718";"0.5947";"0.4766";"4.4353";"5.1589";"0.014811";"0.03403";"0.2613";"0.5583";"1.0487";"0.1008";"0.5096";"-";"1.6976";"3.3306";"0.3305";"1.4233";"0.544";"0.0529";"0.002984";"0.2581";"2.6333";"0.0389";"0.41";"0.9068";"-";"-";"-";"-";"-";"-";"-";"-";"-";"144.2201";"5.0587";"2.9907";"2.2685";"3.1802";"3.6017";"0.1724";"0.5948";"0.4796";"4.4367";"5.1909";"0.014756";"0.034148";"0.2612";"0.5486";"1.0407";"0.1008";"0.5078";"-";"1.6452";"3.351";"0.3242";"1.4196";"0.5475";"0.0507";"0.003019";"0.2512";"2.6027";"0.0388";"0.4124";"0.9122";"-";"-";"-";"-";"-";"-";"-";"-";"-";"150.0388";"5.0775"
"2013-07";"3.1004";"2.2628";"3.2488";"3.5796";"0.1706";"0.5934";"0.4826";"4.4257";"5.1355";"0.015007";"0.033958";"0.2672";"0.5614";"1.0349";"0.1032";"0.511";"-";"1.7501";"3.3829";"0.3411";"1.505";"0.5515";"0.0565";"0.003004";"0.2653";"2.6681";"0.0389";"0.4127";"0.921";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139.6598";"5.0857";"2.997";"2.2522";"3.2215";"3.5778";"0.1707";"0.5909";"0.4739";"4.4048";"5.0473";"0.014685";"0.033975";"0.2608";"0.5593";"1.0383";"0.1005";"0.5054";"-";"1.7182";"3.3169";"0.3363";"1.4555";"0.5413";"0.0545";"0.002956";"0.2594";"2.6514";"0.0386";"0.4088";"0.9032";"-";"-";"-";"-";"-";"-";"-";"-";"-";"142.0122";"5.0236"
"2013-06";"3.2025";"2.2888";"3.2932";"3.6312";"0.1739";"0.6003";"0.4849";"4.4765";"5.2533";"0.015146";"0.034869";"0.2728";"0.5797";"1.0468";"0.1049";"0.5164";"-";"1.7894";"3.3923";"0.3388";"1.566";"0.5531";"0.0582";"0.00299";"0.2627";"2.6835";"0.0392";"0.4161";"0.9236";"-";"-";"-";"-";"-";"-";"-";"-";"-";"146.7541";"5.1375";"3.1579";"2.2798";"3.2596";"3.6123";"0.1718";"0.5978";"0.4865";"4.4588";"5.2077";"0.015101";"0.03448";"0.2733";"0.5652";"1.0302";"0.1043";"0.5074";"-";"1.7745";"3.4151";"0.3423";"1.5532";"0.5564";"0.0576";"0.002991";"0.2621";"2.6641";"0.0392";"0.4164";"0.9298";"-";"-";"-";"-";"-";"-";"-";"-";"-";"132.1562";"5.1353"
"2013-05";"3.2989";"2.2178";"3.2716";"3.4941";"0.1674";"0.5819";"0.4798";"4.3375";"5.1064";"0.014842";"0.033104";"0.2701";"0.5737";"1.0374";"0.1066";"0.5058";"-";"1.8277";"3.343";"0.3562";"1.6418";"0.5446";"0.0607";"0.003003";"0.2715";"2.7475";"0.0391";"0.4108";"0.9102";"-";"-";"-";"-";"-";"-";"-";"-";"-";"151.724";"5.0085";"3.2318";"2.2392";"3.2595";"3.5336";"0.1699";"0.5874";"0.483";"4.3794";"5.1296";"0.014764";"0.033568";"0.2695";"0.5741";"1.0201";"0.1056";"0.5091";"-";"1.783";"3.3737";"0.3317";"1.5986";"0.5499";"0.0595";"0.002981";"0.2615";"2.6938";"0.0389";"0.4134";"0.9184";"-";"-";"-";"-";"-";"-";"-";"-";"-";"152.9066";"5.0547"
"2013-04";"3.4974";"2.2396";"3.3055";"3.5908";"0.1695";"0.5875";"0.4898";"4.3802";"5.1512";"0.014653";"0.034464";"0.2729";"0.5808";"1.0582";"0.1075";"0.5191";"-";"1.8733";"3.3666";"0.3695";"1.6801";"0.5442";"0.062";"0.003004";"0.2758";"2.853";"0.0393";"0.414";"0.9166";"-";"-";"-";"-";"-";"-";"-";"-";"-";"161.5289";"5.0636";"3.4247";"2.2107";"3.2717";"3.532";"0.1677";"0.5798";"0.4769";"4.3237";"5.1289";"0.014436";"0.033931";"0.2685";"0.5673";"1.0432";"0.1065";"0.5051";"-";"1.8396";"3.3075";"0.3689";"1.645";"0.5365";"0.0614";"0.003002";"0.2712";"2.8321";"0.039";"0.4079";"0.9005";"-";"-";"-";"-";"-";"-";"-";"-";"-";"156.5432";"4.9917"
"2013-03";"3.5025";"2.2454";"3.3061";"3.5812";"0.1712";"0.5891";"0.4999";"4.3915";"5.1113";"0.014489";"0.03575";"0.2749";"0.5866";"1.0567";"0.1099";"0.5262";"-";"1.8724";"3.3879";"0.3688";"1.7064";"0.5451";"0.0623";"0.003072";"0.2708";"2.8055";"0.0393";"0.4165";"0.9224";"-";"-";"-";"-";"-";"-";"-";"-";"-";"173.4371";"5.0935";"3.5877";"2.2576";"3.3881";"3.6275";"0.1712";"0.5923";"0.5064";"4.4154";"5.2352";"0.014511";"0.03662";"0.2779";"0.5901";"1.0574";"0.111";"0.5286";"-";"1.9039";"3.4455";"0.3726";"1.7019";"0.5547";"0.0635";"0.0031";"0.279";"2.8818";"0.0395";"0.4229";"0.938";"-";"-";"-";"-";"-";"-";"-";"-";"-";"177.892";"5.1661"
"2013-02";"3.3837";"2.2419";"3.2528";"3.5645";"0.1722";"0.5878";"0.4879";"4.3848";"5.0819";"0.014982";"0.035244";"0.2709";"0.5902";"1.0512";"0.1087";"0.5152";"-";"1.847";"3.2816";"0.3693";"1.6616";"0.5265";"0.0609";"0.003019";"0.258";"2.7523";"0.0394";"0.4033";"0.8934";"-";"-";"-";"-";"-";"-";"-";"-";"-";"172.0183";"5.0112";"3.4207";"2.2343";"3.2563";"3.5796";"0.1704";"0.5861";"0.4947";"4.3698";"5.0606";"0.014743";"0.036193";"0.2723";"0.5838";"1.0514";"0.1091";"0.5169";"-";"1.8551";"3.3345";"0.3768";"1.6871";"0.5359";"0.0613";"0.003076";"0.261";"2.7691";"0.0392";"0.4088";"0.9078";"-";"-";"-";"-";"-";"-";"-";"-";"-";"170.4722";"5.0488"
"2013-01";"3.4601";"2.2391";"3.3208";"3.5615";"0.1713";"0.587";"0.5009";"4.3793";"5.2563";"0.014902";"0.037003";"0.2717";"0.5929";"1.057";"0.109";"0.5077";"-";"1.861";"3.2949";"0.3742";"1.6227";"0.5296";"0.0607";"0.00309";"0.2596";"2.7584";"0.0391";"0.4065";"0.8971";"-";"-";"-";"-";"-";"-";"-";"-";"-";"177.0196";"5.0582";"3.3674";"2.2409";"3.2262";"3.5483";"0.1709";"0.5874";"0.4815";"4.3828";"5.1114";"0.01499";"0.035523";"0.2674";"0.5891";"1.0449";"0.1075";"0.5085";"-";"1.8346";"3.2332";"0.3597";"1.627";"0.5199";"0.0608";"0.002976";"0.2545";"2.7089";"0.0393";"0.3969";"0.8803";"-";"-";"-";"-";"-";"-";"-";"-";"-";"174.0075";"4.985"
"2012-12";"3.5847";"2.2955";"3.4594";"3.7128";"0.1781";"0.6018";"0.5554";"4.4895";"5.5288";"0.01572";"0.040979";"0.2808";"0.6101";"1.0962";"0.1114";"0.5188";"-";"1.9164";"3.424";"0.3964";"1.6443";"0.5493";"0.0627";"0.003183";"0.2662";"2.8477";"0.0395";"0.422";"0.9322";"-";"-";"-";"-";"-";"-";"-";"-";"-";"185.816";"5.2684";"3.4841";"2.2644";"3.3736";"3.6681";"0.1763";"0.5936";"0.5275";"4.4287";"5.4297";"0.015135";"0.038994";"0.2769";"0.601";"1.0829";"0.1102";"0.5154";"-";"1.8798";"3.3575";"0.3956";"1.6397";"0.5389";"0.0614";"0.003156";"0.2578";"2.7603";"0.039";"0.4144";"0.914";"-";"-";"-";"-";"-";"-";"-";"-";"-";"179.6287";"5.1637"
"2012-11";"3.6717";"2.3139";"3.5398";"3.7551";"0.1785";"0.6067";"0.578";"4.5255";"5.6325";"0.016025";"0.043625";"0.2862";"0.6167";"1.0944";"0.1124";"0.5259";"-";"1.967";"3.5289";"0.4011";"1.7113";"0.5661";"0.0643";"0.003244";"0.2698";"2.8914";"0.0401";"0.4309";"0.9608";"-";"-";"-";"-";"-";"-";"-";"-";"-";"195.6322";"5.3964";"3.6298";"2.3039";"3.4984";"3.7424";"0.1787";"0.604";"0.5676";"4.5059";"5.5536";"0.016125";"0.042236";"0.2822";"0.6139";"1.0996";"0.112";"0.5236";"-";"1.9416";"3.4687";"0.3961";"1.6575";"0.5569";"0.0632";"0.003201";"0.2681";"2.8659";"0.0399";"0.4248";"0.9444";"-";"-";"-";"-";"-";"-";"-";"-";"-";"192.321";"5.3229"
"2012-10";"3.6185";"2.3307";"3.5627";"3.768";"0.1828";"0.6112";"0.5759";"4.5583";"5.6511";"0.01616";"0.044508";"0.2868";"0.6154";"1.1093";"0.1129";"0.5292";"-";"1.9483";"3.5134";"0.4062";"1.73";"0.5608";"0.0662";"0.003176";"0.2726";"2.8821";"0.0401";"0.4309";"0.9566";"-";"-";"-";"-";"-";"-";"-";"-";"-";"197.2855";"5.4128";"3.6247";"2.3192";"3.4985";"3.755";"0.1813";"0.608";"0.5707";"4.5358";"5.6213";"0.015991";"0.043687";"0.2857";"0.6132";"1.0963";"0.1115";"0.5275";"-";"1.9438";"3.4873";"0.4025";"1.7174";"0.5591";"0.0648";"0.003199";"0.2676";"2.8687";"0.04";"0.4271";"0.9495";"-";"-";"-";"-";"-";"-";"-";"-";"-";"192.719";"5.3727"
"2012-09";"3.6381";"2.3012";"3.5775";"3.7228";"0.182";"0.6038";"0.5746";"4.5007";"5.6403";"0.015843";"0.044785";"0.2826";"0.6085";"1.0887";"0.1113";"0.5296";"-";"1.9422";"3.5016";"0.423";"1.7267";"0.5539";"0.0643";"0.003116";"0.2704";"2.863";"0.0387";"0.4309";"0.9533";"-";"-";"-";"-";"-";"-";"-";"-";"-";"196.0972";"5.3827";"3.6588";"2.3178";"3.5771";"3.7478";"0.1802";"0.6081";"0.5745";"4.5331";"5.6813";"0.015916";"0.045094";"0.2845";"0.6152";"1.102";"0.113";"0.5375";"-";"1.9522";"3.5029";"0.4251";"1.725";"0.5574";"0.0665";"0.003149";"0.2732";"2.9173";"0.0395";"0.429";"0.9536";"-";"-";"-";"-";"-";"-";"-";"-";"-";"200.3454";"5.4057"
"2012-08";"3.8135";"2.3092";"3.6655";"3.7603";"0.1806";"0.6066";"0.5986";"4.5163";"5.719";"0.016206";"0.046294";"0.2917";"0.6165";"1.1037";"0.1139";"0.5453";"-";"2.0271";"3.6407";"0.4403";"1.7939";"0.5725";"0.0656";"0.003216";"0.276";"2.9516";"0.0383";"0.4492";"0.9912";"-";"-";"-";"-";"-";"-";"-";"-";"-";"190.5837";"5.5082";"3.663";"2.2801";"3.5798";"3.7136";"0.1798";"0.5986";"0.5817";"4.4595";"5.6116";"0.015747";"0.045176";"0.2847";"0.6114";"1.0657";"0.1094";"0.5342";"-";"1.9528";"3.5484";"0.4219";"1.7303";"0.5591";"0.0638";"0.003131";"0.2661";"2.8433";"0.0377";"0.4371";"0.9663";"-";"-";"-";"-";"-";"-";"-";"-";"-";"189.1168";"5.3978"
"2012-07";"3.8094";"2.3256";"3.6473";"3.7869";"0.1788";"0.6115";"0.6102";"4.5484";"5.7668";"0.015882";"0.046866";"0.2988";"0.61";"1.0863";"0.1138";"0.5321";"-";"2.0411";"3.6993";"0.4484";"1.8255";"0.5806";"0.0667";"0.003238";"0.2768";"2.9531";"0.039";"0.4574";"1.0072";"-";"-";"-";"-";"-";"-";"-";"-";"-";"189.4667";"5.5726";"3.9216";"2.3363";"3.7206";"3.804";"0.1807";"0.6142";"0.6133";"4.5694";"5.8428";"0.01639";"0.047615";"0.2971";"0.6157";"1.1132";"0.1155";"0.5461";"-";"2.0741";"3.7242";"0.4539";"1.8239";"0.5853";"0.067";"0.003294";"0.2812";"3.0182";"0.0388";"0.4598";"1.0139";"-";"-";"-";"-";"-";"-";"-";"-";"-";"194.404";"5.6156"
"2012-06";"3.5539";"2.2805";"3.4623";"3.7138";"0.1741";"0.6001";"0.5882";"4.4603";"5.532";"0.015228";"0.044867";"0.2943";"0.5915";"1.0385";"0.1083";"0.5027";"-";"1.9535";"3.557";"0.4242";"1.7339";"0.559";"0.0634";"0.003058";"0.2555";"2.7776";"0.0386";"0.4402";"0.9684";"-";"-";"-";"-";"-";"-";"-";"-";"-";"182.3135";"5.3912";"3.5961";"2.275";"3.4481";"3.7024";"0.1737";"0.5986";"0.5837";"4.4494";"5.5101";"0.015439";"0.044523";"0.292";"0.5907";"1.0446";"0.1072";"0.5069";"-";"1.9464";"3.536";"0.4277";"1.7032";"0.5566";"0.0632";"0.003088";"0.263";"2.8213";"0.0384";"0.4408";"0.9628";"-";"-";"-";"-";"-";"-";"-";"-";"-";"178.53";"5.3662"
"2012-05";"3.4572";"2.2692";"3.4351";"3.6947";"0.1753";"0.597";"0.5744";"4.4381";"5.5202";"0.015109";"0.043533";"0.2917";"0.5862";"1.0335";"0.1123";"0.4933";"-";"1.9167";"3.4703";"0.425";"1.7507";"0.5485";"0.0637";"0.002993";"0.2546";"2.682";"0.039";"0.431";"0.9448";"-";"-";"-";"-";"-";"-";"-";"-";"-";"176.5588";"5.3071";"3.5053";"2.2831";"3.5007";"3.7159";"0.174";"0.6008";"0.5944";"4.4652";"5.5787";"0.014831";"0.045577";"0.2993";"0.5935";"1.0167";"0.1091";"0.4973";"-";"1.9465";"3.5939";"0.4228";"1.782";"0.5643";"0.0641";"0.003053";"0.2549";"2.7199";"0.038";"0.4445";"0.9785";"-";"-";"-";"-";"-";"-";"-";"-";"-";"181.1831";"5.4314"
"2012-04";"3.4372";"2.2375";"3.3474";"3.6405";"0.1765";"0.5882";"0.5503";"4.376";"5.3219";"0.014839";"0.040856";"0.2794";"0.5781";"1.048";"0.1127";"0.4939";"-";"1.8604";"3.3243";"0.4246";"1.7961";"0.5272";"0.0643";"0.002928";"0.2549";"2.7173";"0.0392";"0.4144";"0.9051";"-";"-";"-";"-";"-";"-";"-";"-";"-";"175.8408";"5.1301";"3.4673";"2.2482";"3.3848";"3.6593";"0.1768";"0.5911";"0.5497";"4.397";"5.409";"0.015366";"0.041464";"0.2825";"0.5798";"1.0527";"0.1132";"0.4934";"-";"1.8892";"3.324";"0.4288";"1.7625";"0.5268";"0.0632";"0.002946";"0.2563";"2.7273";"0.0393";"0.4139";"0.905";"-";"-";"-";"-";"-";"-";"-";"-";"-";"177.6435";"5.1557"
"2012-03";"3.4815";"2.2319";"3.3259";"3.619";"0.1769";"0.5871";"0.5479";"4.3652";"5.2298";"0.01494";"0.040108";"0.2797";"0.5798";"1.0551";"0.1126";"0.4912";"-";"1.8475";"3.306";"0.4346";"1.8486";"0.5236";"0.0656";"0.002934";"0.2594";"2.7105";"0.0393";"0.4121";"0.9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"177.9901";"5.0942";"3.4133";"2.239";"3.2953";"3.6346";"0.1768";"0.5886";"0.5431";"4.3791";"5.2532";"0.014851";"0.039961";"0.2801";"0.5762";"1.0544";"0.1118";"0.4958";"-";"1.8405";"3.2805";"0.4277";"1.7997";"0.5209";"0.0645";"0.002895";"0.2571";"2.6969";"0.0392";"0.4092";"0.8931";"-";"-";"-";"-";"-";"-";"-";"-";"-";"175.3292";"5.0842"
"2012-02";"3.527";"2.2245";"3.2963";"3.6042";"0.1738";"0.5852";"0.5449";"4.3506";"5.1952";"0.014971";"0.041925";"0.2772";"0.5757";"1.04";"0.1103";"0.4932";"-";"1.8715";"3.2879";"0.4294";"1.9123";"0.5219";"0.0668";"0.002928";"0.2573";"2.7444";"0.0402";"0.4098";"0.8951";"-";"-";"-";"-";"-";"-";"-";"-";"-";"184.2171";"5.0943";"3.5084";"2.2234";"3.2686";"3.608";"0.1747";"0.5848";"0.5363";"4.3486";"5.1548";"0.01503";"0.040174";"0.2741";"0.5832";"1.0528";"0.1113";"0.4926";"-";"1.859";"3.2357";"0.4352";"1.9082";"0.5141";"0.066";"0.002899";"0.2529";"2.7345";"0.0394";"0.4036";"0.8809";"-";"-";"-";"-";"-";"-";"-";"-";"-";"185.9428";"5.0335"
"2012-01";"3.5038";"2.2205";"3.322";"3.5877";"0.1701";"0.5841";"0.5574";"4.3428";"5.2192";"0.014179";"0.043721";"0.285";"0.566";"0.9943";"0.1076";"0.4912";"-";"1.8319";"3.365";"0.4201";"1.8829";"0.5325";"0.066";"0.002946";"0.2515";"2.6976";"0.0413";"0.4184";"0.9161";"-";"-";"-";"-";"-";"-";"-";"-";"-";"179.4171";"5.1697";"3.5104";"2.2207";"3.2977";"3.6044";"0.1726";"0.5844";"0.546";"4.3433";"5.1969";"0.014788";"0.043127";"0.2808";"0.5667";"1.0265";"0.1092";"0.4885";"-";"1.8558";"3.2919";"0.4236";"1.8826";"0.5219";"0.0666";"0.002936";"0.2549";"2.7276";"0.0411";"0.4112";"0.8964";"-";"-";"-";"-";"-";"-";"-";"-";"-";"183.9433";"5.1266"
"2011-12";"3.3272";"2.2123";"3.2122";"3.5239";"0.1697";"0.582";"0.5459";"4.3267";"5.1264";"0.01422";"0.042229";"0.2783";"0.5584";"0.9668";"0.1041";"0.48";"-";"1.757";"3.2863";"0.4015";"1.7875";"0.5177";"0.0625";"0.002859";"0.239";"2.5306";"0.042";"0.4095";"0.8947";"-";"-";"-";"-";"-";"-";"-";"-";"-";"173.7568";"5.0733";"3.394";"2.2087";"3.2724";"3.5528";"0.1674";"0.5811";"0.5538";"4.3197";"5.1545";"0.013881";"0.043178";"0.2866";"0.5549";"0.973";"0.1035";"0.4839";"-";"1.745";"3.3393";"0.4118";"1.7901";"0.5306";"0.0627";"0.002881";"0.2384";"2.5822";"0.0406";"0.4161";"0.9093";"-";"-";"-";"-";"-";"-";"-";"-";"-";"169.0261";"5.1256"
"2011-11";"3.2397";"2.226";"3.1293";"3.5369";"0.171";"0.5851";"0.5367";"4.3536";"5.0752";"0.014051";"0.041453";"0.2735";"0.5595";"0.9815";"0.104";"0.4764";"-";"1.7717";"3.212";"0.3933";"1.7989";"0.5053";"0.0633";"0.002831";"0.2344";"2.4733";"0.0424";"0.4007";"0.8745";"-";"-";"-";"-";"-";"-";"-";"-";"-";"179.1843";"5.0208";"3.2692";"2.2261";"3.174";"3.5474";"0.1705";"0.5856";"0.5456";"4.3539";"5.0988";"0.013968";"0.041935";"0.2741";"0.5598";"0.9571";"0.1045";"0.474";"-";"1.7636";"3.2764";"0.3894";"1.7739";"0.5137";"0.0626";"0.002865";"0.2375";"2.4899";"0.0419";"0.4088";"0.8919";"-";"-";"-";"-";"-";"-";"-";"-";"-";"179.5197";"5.0751"
"2011-10";"3.1948";"2.2108";"3.0895";"3.5151";"0.1742";"0.5808";"0.5284";"4.3238";"4.9671";"0.01457";"0.041154";"0.2686";"0.5579";"0.9933";"0.1008";"0.4745";"-";"1.7237";"3.1539";"0.3961";"1.7756";"0.4947";"0.064";"0.002739";"0.2347";"2.4898";"0.043";"0.3938";"0.8587";"-";"-";"-";"-";"-";"-";"-";"-";"-";"169.0647";"4.9691";"3.2666";"2.211";"3.0982";"3.5448";"0.1742";"0.581";"0.5177";"4.3243";"4.9454";"0.014197";"0.039667";"0.2633";"0.5595";"0.9953";"0.1026";"0.4784";"-";"1.7614";"3.0889";"0.3965";"1.8471";"0.4861";"0.0633";"0.002782";"0.2359";"2.5075";"0.0429";"0.3855";"0.8411";"-";"-";"-";"-";"-";"-";"-";"-";"-";"170.6212";"4.877"
"2011-09";"3.1829";"2.1894";"3.106";"3.5679";"0.1745";"0.5751";"0.5213";"4.282";"4.9103";"0.015042";"0.040493";"0.2683";"0.5543";"0.9879";"0.1012";"0.4688";"-";"1.7307";"3.1091";"0.4129";"1.7969";"0.4866";"0.0653";"0.002777";"0.2389";"2.5288";"0.0423";"0.3885";"0.8465";"-";"-";"-";"-";"-";"-";"-";"-";"-";"177.8743";"4.8916";"3.1295";"2.2258";"3.0834";"3.5703";"0.1765";"0.585";"0.5397";"4.3533";"5.0281";"0.014883";"0.041877";"0.2683";"0.5519";"0.9853";"0.1002";"0.4706";"-";"1.732";"3.2195";"0.3993";"1.75";"0.5045";"0.0656";"0.002726";"0.2346";"2.4597";"0.043";"0.4019";"0.8765";"-";"-";"-";"-";"-";"-";"-";"-";"-";"168.5501";"5.0111"
"2011-08";"3.1118";"2.1731";"3.0208";"3.7968";"0.1752";"0.5705";"0.4967";"4.2501";"4.8488";"0.015607";"0.038431";"0.2618";"0.5457";"1.0323";"0.103";"0.4637";"-";"1.6887";"2.9612";"0.4189";"1.8583";"0.4623";"0.0653";"0.002756";"0.2421";"2.4825";"0.0416";"0.3703";"0.8062";"-";"-";"-";"-";"-";"-";"-";"-";"-";"167.6783";"4.7586";"3.122";"2.1591";"2.9878";"3.6035";"0.1751";"0.5667";"0.4912";"4.2228";"4.7621";"0.015559";"0.038189";"0.2604";"0.546";"1.0181";"0.101";"0.4609";"-";"1.6988";"2.9244";"0.4161";"1.8328";"0.4585";"0.0638";"0.002746";"0.2347";"2.4988";"0.0419";"0.3652";"0.7961";"-";"-";"-";"-";"-";"-";"-";"-";"-";"171.6346";"4.7158"
"2011-07";"3.1969";"2.1682";"3.1056";"3.6035";"0.1742";"0.5687";"0.4985";"4.2405";"4.7884";"0.015857";"0.037417";"0.2577";"0.5448";"1.0616";"0.1064";"0.4642";"-";"1.7935";"2.97";"0.437";"1.9004";"0.4599";"0.0669";"0.002806";"0.2545";"2.5104";"0.0413";"0.3718";"0.8086";"-";"-";"-";"-";"-";"-";"-";"-";"-";"149.7358";"4.7393";"3.2483";"2.1681";"3.1227";"3.7057";"0.1754";"0.5692";"0.4982";"4.2403";"4.8287";"0.015708";"0.038227";"0.2597";"0.5478";"1.0584";"0.1071";"0.4667";"-";"1.7661";"2.9682";"0.4395";"1.8942";"0.4611";"0.0672";"0.002815";"0.2529";"2.5709";"0.0412";"0.3711";"0.8081";"-";"-";"-";"-";"-";"-";"-";"-";"-";"154.0188";"4.7621"
"2011-06";"3.0899";"2.1438";"2.98";"3.466";"0.1726";"0.5622";"0.4896";"4.1929";"4.7218";"0.015714";"0.036204";"0.2494";"0.5353";"1.0554";"0.1041";"0.4601";"-";"1.8155";"2.9134";"0.4283";"1.8356";"0.45";"0.065";"0.002697";"0.2468";"2.3741";"0.042";"0.3646";"0.7932";"-";"-";"-";"-";"-";"-";"-";"-";"-";"143.1735";"4.6623";"3.137";"2.1649";"3.0281";"3.5066";"0.1742";"0.5677";"0.4899";"4.2341";"4.676";"0.015946";"0.036389";"0.2528";"0.5445";"1.0632";"0.105";"0.4617";"-";"1.799";"2.9259";"0.4315";"1.8666";"0.4527";"0.0655";"0.002741";"0.249";"2.422";"0.042";"0.3664";"0.7967";"-";"-";"-";"-";"-";"-";"-";"-";"-";"141.7216";"4.6885"
"2011-05";"3.0592";"2.1025";"2.9619";"3.2802";"0.1686";"0.5515";"0.4817";"4.112";"4.6814";"0.015413";"0.035305";"0.247";"0.5242";"1.0439";"0.1026";"0.459";"-";"1.8197";"2.8652";"0.4178";"1.7764";"0.4411";"0.0638";"0.002643";"0.2459";"2.2821";"0.0418";"0.3586";"0.7801";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139.43";"4.5747";"3.0494";"2.107";"2.9421";"3.358";"0.1681";"0.5527";"0.4804";"4.1208";"4.7127";"0.015415";"0.035021";"0.2471";"0.532";"1.0419";"0.1021";"0.4635";"-";"1.7915";"2.8571";"0.4147";"1.7987";"0.441";"0.0634";"0.002648";"0.2472";"2.3547";"0.0426";"0.3581";"0.7779";"-";"-";"-";"-";"-";"-";"-";"-";"-";"141.264";"4.6017"
"2011-04";"2.9993";"2.0959";"2.9606";"3.1581";"0.1688";"0.5497";"0.476";"4.0992";"4.6406";"0.015453";"0.034042";"0.2432";"0.5247";"1.0323";"0.1011";"0.4569";"-";"1.8636";"2.836";"0.4213";"1.7877";"0.4344";"0.064";"0.002615";"0.2421";"2.2359";"0.0405";"0.3557";"0.7721";"-";"-";"-";"-";"-";"-";"-";"-";"-";"134.7387";"4.5401";"2.9927";"2.0832";"2.8828";"3.1594";"0.1687";"0.5464";"0.4609";"4.0744";"4.5659";"0.015439";"0.03366";"0.2383";"0.5222";"1.0355";"0.1003";"0.456";"-";"1.8007";"2.7408";"0.414";"1.7327";"0.4222";"0.0619";"0.002564";"0.2372";"2.2034";"0.0411";"0.3446";"0.7462";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135.1344";"4.4607"
"2011-03";"3.0044";"2.1294";"3.047";"3.2344";"0.1708";"0.5584";"0.5016";"4.1646";"4.8071";"0.015371";"0.036382";"0.2495";"0.5316";"1.0376";"0.1046";"0.4687";"-";"1.8818";"2.9736";"0.4297";"1.7919";"0.4529";"0.0661";"0.002655";"0.2476";"2.2045";"0.0403";"0.3741";"0.8096";"-";"-";"-";"-";"-";"-";"-";"-";"-";"135.9929";"4.705";"2.9928";"2.1035";"2.9839";"3.1597";"0.1676";"0.5517";"0.4846";"4.1141";"4.6653";"0.015451";"0.034923";"0.2462";"0.5238";"1.0243";"0.1021";"0.461";"-";"1.8764";"2.8931";"0.4257";"1.7762";"0.4418";"0.0649";"0.002639";"0.2435";"2.207";"0.0397";"0.3653";"0.7877";"-";"-";"-";"-";"-";"-";"-";"-";"-";"133.1271";"4.6125"
"2011-02";"3.135";"2.1716";"3.1486";"3.2728";"0.1749";"0.5697";"0.5289";"4.2472";"5.0175";"0.015667";"0.03767";"0.2596";"0.5423";"1.0815";"0.1063";"0.4829";"-";"1.9559";"3.1108";"0.4323";"1.8632";"0.473";"0.0685";"0.00278";"0.2578";"2.369";"0.0411";"0.3911";"0.847";"-";"-";"-";"-";"-";"-";"-";"-";"-";"137.1365";"4.8642";"3.0929";"2.1551";"3.1185";"3.2862";"0.1726";"0.5653";"0.5178";"4.215";"4.944";"0.015505";"0.03726";"0.2545";"0.5445";"1.0613";"0.1055";"0.4795";"-";"1.9042";"3.0489";"0.4368";"1.8332";"0.464";"0.0673";"0.002707";"0.2519";"2.2902";"0.0408";"0.3838";"0.8301";"-";"-";"-";"-";"-";"-";"-";"-";"-";"138.1159";"4.8072"
"2011-01";"3.1782";"2.1793";"3.2102";"3.3348";"0.1743";"0.572";"0.549";"4.2622";"5.0291";"0.015475";"0.038632";"0.2614";"0.5446";"1.0953";"0.1056";"0.4779";"-";"2.0413";"3.1918";"0.4615";"1.9066";"0.4838";"0.0703";"0.002852";"0.2631";"2.4428";"0.0405";"0.4011";"0.8691";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139.8286";"4.9387";"3.0972";"2.1756";"3.1166";"3.3041";"0.1753";"0.5708";"0.5324";"4.2549";"4.9516";"0.015563";"0.037938";"0.2577";"0.5365";"1.0807";"0.1046";"0.4799";"-";"1.9442";"3.1182";"0.4343";"1.8527";"0.4721";"0.0679";"0.002782";"0.2563";"2.4009";"0.0407";"0.3928";"0.8491";"-";"-";"-";"-";"-";"-";"-";"-";"-";"133.6413";"4.8548"
